,period,short_descriptions,temperatures
0,Today,Sunny,High: 82 °F
1,Tonight,Slight ChanceT-storms,Low: 63 °F
2,Wednesday,ChanceShowers,High: 86 °F
3,WednesdayNight,Mostly Clear,Low: 67 °F
4,Thursday,Sunny,High: 86 °F
5,ThursdayNight,Mostly Clear,Low: 65 °F
6,Friday,Sunny,High: 85 °F
7,FridayNight,Clear,Low: 63 °F
8,Saturday,Sunny,High: 85 °F
